"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"159",1,1,20,0.7,0.7,0.599956926510599,0.0115419790952924,1,0.6131553531698,0.0103074203846615,1,1,1,46
"160",0,0,20,0,0.8,0.0170039835782288,0.548014289690206,0,-0.00983501753842919,0.511176402791224,0,0,0,95
"161",1,0,20,0,0.8,0.474059348943843,0.0347162533183074,1,0.288142174529685,0.21795854346503,0,1,0,1
"162",0,1,20,0,0.8,-0.0887765035644961,0.167554366831541,0,-0.149429876492516,0.0440940004787526,1,0,1,3
"163",1,1,20,0,0.8,0.447508388228946,0.0478726311850803,1,0.472149595146701,0.0355560874782987,1,1,1,1
"164",0,0,20,0.1,0.8,0.060653005201448,0.515936192214599,0,0.0702705431136321,0.528453223444147,0,0,0,88
"165",1,0,20,0.1,0.8,0.485554632614699,0.0328387371805115,1,0.353183774466847,0.145393089517127,0,1,0,7
"166",0,1,20,0.1,0.8,0.116662184892329,0.249666500010648,0,-0.0183472420563558,0.0281212238663187,1,0,1,2
"167",1,1,20,0.1,0.8,0.150331308819868,0.0164481315536163,1,0.14691643373332,0.0195938781518463,1,1,1,3
"168",0,0,20,0.2,0.8,0.0919607250503402,0.509219188248445,0,0.0890735770289911,0.513520060789428,0,0,0,85
"169",1,0,20,0.2,0.8,0.47467289351859,0.0351203319236432,1,0.331253305290057,0.165504235810828,0,1,0,5
"170",0,1,20,0.2,0.8,0.235445487273576,0.154621925657663,0,0.355429297625944,0.0235478537859172,1,0,1,7
"171",1,1,20,0.2,0.8,0.553154812139392,0.0129173031022434,1,0.590640129275497,0.0166437719078346,1,1,1,3
"172",0,0,20,0.3,0.8,0.130498894192808,0.514571688100023,0,0.129232568831262,0.515613310343918,0,0,0,75
"173",1,0,20,0.3,0.8,0.548092625768726,0.0203573579386397,1,0.381289890072092,0.101542455112251,0,1,0,7
"174",0,1,20,0.3,0.8,0.297422366487457,0.245196511278674,0,0.508408051278024,0.0280803040759088,1,0,1,5
"175",1,1,20,0.3,0.8,0.580507519113961,0.0131166163713458,1,0.567082507237854,0.0141590395983915,1,1,1,13
"176",0,0,20,0.4,0.8,0.193881986071302,0.411504968964878,0,0.184769795054111,0.401625592963924,0,0,0,64
"177",1,0,20,0.4,0.8,0.500079045884097,0.0274615160497361,1,0.363701843035993,0.13536759386947,0,1,0,9
"178",0,1,20,0.4,0.8,0.351235741496465,0.133729780518691,0,0.497215507505955,0.0284176702330704,1,0,1,7
"179",1,1,20,0.4,0.8,0.512709772329426,0.0154470413692963,1,0.509187866278191,0.018297365261619,1,1,1,20
"180",0,0,20,0.5,0.8,0.251637964937968,0.30925188777398,0,0.250285399338511,0.323962119062047,0,0,0,49
"181",1,0,20,0.5,0.8,0.532118275192633,0.0196433401694783,1,0.369455090637187,0.131069465142452,0,1,0,12
"182",0,1,20,0.5,0.8,0.392432379972866,0.0913936979040458,0,0.490916919548333,0.0317299665564441,1,0,1,8
"183",1,1,20,0.5,0.8,0.57431586943338,0.0150940562468875,1,0.565236698011232,0.0158493425656264,1,1,1,31
"184",0,0,20,0.6,0.8,0.266858105546332,0.295905341770514,0,0.25831875026671,0.32532757808356,0,0,0,26
"185",1,0,20,0.6,0.8,0.54153376281597,0.018681757465511,1,0.341310396814234,0.169628587871168,0,1,0,18
"186",0,1,20,0.6,0.8,0.383440442494761,0.106218442545671,0,0.498772687766298,0.0284584451966011,1,0,1,11
"187",1,1,20,0.6,0.8,0.609495628754311,0.0102956011706489,1,0.603818877526238,0.0118791951353864,1,1,1,45
"188",0,0,20,0.7,0.8,0.350867756984672,0.154414582976942,0,0.27757265053399,0.257839950748178,0,0,0,12
"189",1,0,20,0.7,0.8,0.514561588012952,0.0246436681916654,1,0.38820704985863,0.10574238131076,0,1,0,14
"190",0,1,20,0.7,0.8,0.389910014785983,0.0947509937357855,0,0.517287860029342,0.0251917571553545,1,0,1,8
"191",1,1,20,0.7,0.8,0.647812655774226,0.00567165516664434,1,0.645092317883801,0.00788562699927539,1,1,1,66
"192",0,0,20,0,0.9,0.0126907750893417,0.519315628571441,0,0.0216101079812817,0.547632969804727,0,0,0,95
"193",1,0,20,0,0.9,0.217381527996774,0.0409635516139997,1,0.200019734367479,0.196189640643497,0,1,0,4
"194",0,1,20,0,0.9,0.345799190690399,0.13533123598333,0,0.464178649783333,0.0392335164495274,1,0,1,1
"195",0,0,20,0.1,0.9,0.0875484929257879,0.516888425757691,0,0.0598083144250696,0.533631762335152,0,0,0,97
"196",1,1,20,0.1,0.9,0.47224851688176,0.0360220162564081,1,0.491027135015384,0.0298020065409302,1,1,1,3
"197",0,0,20,0.2,0.9,0.146889342964567,0.462726452963937,0,0.125173814469819,0.49114004795558,0,0,0,87
"198",1,0,20,0.2,0.9,0.475518290675122,0.0346775117954532,1,0.364666780996909,0.12815982747971,0,1,0,5
"199",0,1,20,0.2,0.9,0.341411492579117,0.143351371503231,0,0.489656275928675,0.0285984866505851,1,0,1,4
"200",1,1,20,0.2,0.9,0.548312800291473,0.0157802953576262,1,0.542708999650168,0.0150413176594195,1,1,1,4
"201",0,0,20,0.3,0.9,0.174036036465545,0.384484656107263,0,0.147716225461476,0.444078771638804,0,0,0,76
"202",1,0,20,0.3,0.9,0.487014313833285,0.0318076058825332,1,0.345763065132069,0.157439363180063,0,1,0,7
"203",0,1,20,0.3,0.9,0.396840213823554,0.0906713823961536,0,0.475781472453249,0.0358436375929921,1,0,1,7
"204",1,1,20,0.3,0.9,0.558385964758929,0.01715604296344,1,0.537816804738146,0.0222223646483533,1,1,1,10
"205",0,0,20,0.4,0.9,0.270213413715696,0.28466632768015,0,0.247736629536975,0.336043879795345,0,0,0,55
"206",1,0,20,0.4,0.9,0.525392352852126,0.0221771015698842,1,0.366576596928425,0.123538527632257,0,1,0,12
"207",0,1,20,0.4,0.9,0.393916262117444,0.0903706880008057,0,0.524801893326128,0.023912454307513,1,0,1,10
"208",1,1,20,0.4,0.9,0.586157493458259,0.0137212310008782,1,0.55143228112019,0.0180078945674372,1,1,1,23
"209",0,0,20,0.5,0.9,0.262139260205034,0.288153118722856,0,0.220625414986732,0.386173404343086,0,0,0,34
"210",1,0,20,0.5,0.9,0.521168168589114,0.0205458986997135,1,0.354118454352324,0.132043197899983,0,1,0,20
"211",0,1,20,0.5,0.9,0.37541837309631,0.113500803422133,0,0.491935755416213,0.0302081671529387,1,0,1,6
"212",1,1,20,0.5,0.9,0.563534406926508,0.0148182769898674,1,0.579103690321292,0.0125611090361906,1,1,1,40
"213",0,0,20,0.6,0.9,0.345577286216352,0.172107006743488,0,0.294345246108339,0.243950809218503,0,0,0,16
"214",1,0,20,0.6,0.9,0.548585654051124,0.0182251156586891,1,0.360804839434055,0.140055343310038,0,1,0,19
"215",0,1,20,0.6,0.9,0.360541848329181,0.135153449536696,0,0.500316982866131,0.0274507742646646,1,0,1,9
"216",1,1,20,0.6,0.9,0.624984554424281,0.0097883812264229,1,0.597491896899691,0.0123109048769337,1,1,1,56
"217",0,0,20,0.7,0.9,0.331669175046091,0.167125857908553,0,0.248876353979809,0.342309057289009,0,0,0,7
"218",1,0,20,0.7,0.9,0.592921846646729,0.0111459057836741,1,0.388454451934836,0.101366355336751,0,1,0,15
"219",0,1,20,0.7,0.9,0.40099940121089,0.0813071875077774,0,0.532334192914868,0.0184052704285647,1,0,1,4
"220",1,1,20,0.7,0.9,0.656427280017639,0.00513642048988992,1,0.628714898782895,0.00810949975308299,1,1,1,74
"221",0,0,40,0,0.3,0.00666932162244903,0.525550227194335,0,-0.00477126268233969,0.50503191757024,0,0,0,90
"222",1,0,40,0,0.3,0.19669495882294,0.0324850970101804,1,0.104337057237012,0.258292356370519,0,1,0,5
"223",0,1,40,0,0.3,-0.00805307115032336,0.068121521479956,0,0.047731713674056,0.0211973969349051,1,0,1,4
"224",1,1,40,0,0.3,0.387974944738541,0.0133716701979842,1,0.356323279816518,0.0240224441321222,1,1,1,1
"225",0,0,40,0.1,0.3,0.0110444214208233,0.528606708443443,0,-0.0071090911991866,0.502531793150981,0,0,0,91
"226",1,0,40,0.1,0.3,0.380843384159079,0.0176413198664056,1,0.258228691382407,0.114273530275217,0,1,0,4
